Name,Year,Director,خفن,Type,Animation,Comment
House of Cards,2013,,*,Series,IsNot,
Kidding,2018,,,Series,IsNot,
Mindhunter,2017,,,Series,IsNot,
Nine Perfect Strangers,2021,,,Series,IsNot,
See,2019,,*,Series,IsNot,
Ted Lasso,2020,,*,Series,IsNot,
The Handmaid's Tale,2017,,,Series,IsNot,
The haunting of Hill house,2018,,*,Series,IsNot,
The Queens Gambit,2020,,,Series,IsNot,
This is Us,2016,,*,Series,IsNot,
West world,2016,,*,Series,IsNot,
You,2018,,,Series,IsNot,
Your Honor,2020,,,Series,IsNot,
